onset	duration	sample	value
0.945	0	472.5	PHOTO 5Hz           
0.948	0	474	Photo/HV mark
1.148	0	574	Photo/HV mark
1.348	0	674	Photo/HV mark
1.548	0	774	Photo/HV mark
1.748	0	874	Photo/HV mark
1.948	0	974	Photo/HV mark
2.148	0	1074	Photo/HV mark
2.348	0	1174	Photo/HV mark
2.548	0	1274	Photo/HV mark
2.748	0	1374	Photo/HV mark
2.771	0	1385.5	open eyes
2.948	0	1474	Photo/HV mark
3.148	0	1574	Photo/HV mark
3.348	0	1674	Photo/HV mark
3.548	0	1774	Photo/HV mark
3.748	0	1874	Photo/HV mark
3.948	0	1974	Photo/HV mark
4.148	0	2074	Photo/HV mark
4.348	0	2174	Photo/HV mark
4.548	0	2274	Photo/HV mark
4.748	0	2374	Photo/HV mark
4.948	0	2474	Photo/HV mark
5.148	0	2574	Photo/HV mark
5.348	0	2674	Photo/HV mark
5.548	0	2774	Photo/HV mark
5.748	0	2874	Photo/HV mark
5.948	0	2974	Photo/HV mark
6.148	0	3074	Photo/HV mark
6.348	0	3174	Photo/HV mark
6.548	0	3274	Photo/HV mark
6.611	0	3305.5	closed eyes
6.748	0	3374	Photo/HV mark
6.948	0	3474	Photo/HV mark
7.148	0	3574	Photo/HV mark
7.348	0	3674	Photo/HV mark
7.548	0	3774	Photo/HV mark
7.748	0	3874	Photo/HV mark
7.948	0	3974	Photo/HV mark
8.148	0	4074	Photo/HV mark
8.348	0	4174	Photo/HV mark
8.548	0	4274	Photo/HV mark
8.748	0	4374	Photo/HV mark
8.948	0	4474	Photo/HV mark
9.148	0	4574	Photo/HV mark
9.348	0	4674	Photo/HV mark
9.548	0	4774	Photo/HV mark
9.748	0	4874	Photo/HV mark
9.948	0	4974	Photo/HV mark
10.148	0	5074	Photo/HV mark
10.348	0	5174	Photo/HV mark
10.548	0	5274	Photo/HV mark
10.748	0	5374	Photo/HV mark
10.946	0	5473	Photo/HV mark
20.946	0	10473	Photo/HV mark
21.003	0	10501.5	PHOTO 10Hz          
21.046	0	10523	Photo/HV mark
21.146	0	10573	Photo/HV mark
21.246	0	10623	Photo/HV mark
21.346	0	10673	Photo/HV mark
21.446	0	10723	Photo/HV mark
21.546	0	10773	Photo/HV mark
21.646	0	10823	Photo/HV mark
21.746	0	10873	Photo/HV mark
21.846	0	10923	Photo/HV mark
21.946	0	10973	Photo/HV mark
22.046	0	11023	Photo/HV mark
22.146	0	11073	Photo/HV mark
22.246	0	11123	Photo/HV mark
22.346	0	11173	Photo/HV mark
22.446	0	11223	Photo/HV mark
22.546	0	11273	Photo/HV mark
22.646	0	11323	Photo/HV mark
22.746	0	11373	Photo/HV mark
22.793	0	11396.5	open eyes
22.846	0	11423	Photo/HV mark
22.946	0	11473	Photo/HV mark
23.046	0	11523	Photo/HV mark
23.146	0	11573	Photo/HV mark
23.246	0	11623	Photo/HV mark
23.346	0	11673	Photo/HV mark
23.446	0	11723	Photo/HV mark
23.546	0	11773	Photo/HV mark
23.646	0	11823	Photo/HV mark
23.746	0	11873	Photo/HV mark
23.846	0	11923	Photo/HV mark
23.946	0	11973	Photo/HV mark
24.046	0	12023	Photo/HV mark
24.146	0	12073	Photo/HV mark
24.246	0	12123	Photo/HV mark
24.346	0	12173	Photo/HV mark
24.446	0	12223	Photo/HV mark
24.546	0	12273	Photo/HV mark
24.646	0	12323	Photo/HV mark
24.746	0	12373	Photo/HV mark
24.846	0	12423	Photo/HV mark
24.946	0	12473	Photo/HV mark
25.046	0	12523	Photo/HV mark
25.146	0	12573	Photo/HV mark
25.246	0	12623	Photo/HV mark
25.346	0	12673	Photo/HV mark
25.446	0	12723	Photo/HV mark
25.546	0	12773	Photo/HV mark
25.646	0	12823	Photo/HV mark
25.746	0	12873	Photo/HV mark
25.846	0	12923	Photo/HV mark
25.946	0	12973	Photo/HV mark
25.977	0	12988.5	closed eyes
26.046	0	13023	Photo/HV mark
26.146	0	13073	Photo/HV mark
26.246	0	13123	Photo/HV mark
26.346	0	13173	Photo/HV mark
26.446	0	13223	Photo/HV mark
26.546	0	13273	Photo/HV mark
26.646	0	13323	Photo/HV mark
26.746	0	13373	Photo/HV mark
26.846	0	13423	Photo/HV mark
26.946	0	13473	Photo/HV mark
27.046	0	13523	Photo/HV mark
27.146	0	13573	Photo/HV mark
27.246	0	13623	Photo/HV mark
