onset	duration	sample	value
5.512	0	2756	Photo/HV mark
5.712	0	2856	Photo/HV mark
5.912	0	2956	Photo/HV mark
6.112	0	3056	Photo/HV mark
6.31	0	3155	PHOTO 5Hz           
6.312	0	3156	Photo/HV mark
6.512	0	3256	Photo/HV mark
6.712	0	3356	Photo/HV mark
6.912	0	3456	Photo/HV mark
7.112	0	3556	Photo/HV mark
7.312	0	3656	Photo/HV mark
7.512	0	3756	Photo/HV mark
7.712	0	3856	Photo/HV mark
7.912	0	3956	Photo/HV mark
8.112	0	4056	Photo/HV mark
8.312	0	4156	Photo/HV mark
8.512	0	4256	Photo/HV mark
8.712	0	4356	Photo/HV mark
8.912	0	4456	Photo/HV mark
9.112	0	4556	Photo/HV mark
9.312	0	4656	Photo/HV mark
9.512	0	4756	Photo/HV mark
9.712	0	4856	Photo/HV mark
9.738	0	4869	open eyes
9.912	0	4956	Photo/HV mark
10.112	0	5056	Photo/HV mark
10.312	0	5156	Photo/HV mark
10.512	0	5256	Photo/HV mark
10.712	0	5356	Photo/HV mark
10.912	0	5456	Photo/HV mark
11.112	0	5556	Photo/HV mark
11.312	0	5656	Photo/HV mark
11.512	0	5756	Photo/HV mark
11.712	0	5856	Photo/HV mark
11.912	0	5956	Photo/HV mark
12.112	0	6056	Photo/HV mark
12.312	0	6156	Photo/HV mark
12.512	0	6256	Photo/HV mark
12.712	0	6356	Photo/HV mark
12.912	0	6456	Photo/HV mark
13.112	0	6556	Photo/HV mark
13.312	0	6656	Photo/HV mark
13.512	0	6756	Photo/HV mark
13.684	0	6842	closed eyes
13.712	0	6856	Photo/HV mark
13.912	0	6956	Photo/HV mark
14.112	0	7056	Photo/HV mark
14.312	0	7156	Photo/HV mark
14.512	0	7256	Photo/HV mark
14.712	0	7356	Photo/HV mark
14.912	0	7456	Photo/HV mark
15.112	0	7556	Photo/HV mark
15.312	0	7656	Photo/HV mark
15.512	0	7756	Photo/HV mark
25.51	0	12755	Photo/HV mark
25.61	0	12805	Photo/HV mark
25.71	0	12855	Photo/HV mark
25.81	0	12905	Photo/HV mark
25.91	0	12955	Photo/HV mark
26.01	0	13005	Photo/HV mark
26.11	0	13055	Photo/HV mark
26.21	0	13105	Photo/HV mark
26.31	0	13155	Photo/HV mark
26.371	0	13185.5	PHOTO 10Hz          
26.41	0	13205	Photo/HV mark
26.51	0	13255	Photo/HV mark
26.61	0	13305	Photo/HV mark
26.71	0	13355	Photo/HV mark
26.81	0	13405	Photo/HV mark
26.91	0	13455	Photo/HV mark
27.01	0	13505	Photo/HV mark
27.11	0	13555	Photo/HV mark
27.21	0	13605	Photo/HV mark
27.31	0	13655	Photo/HV mark
27.41	0	13705	Photo/HV mark
27.51	0	13755	Photo/HV mark
27.61	0	13805	Photo/HV mark
27.71	0	13855	Photo/HV mark
27.81	0	13905	Photo/HV mark
27.91	0	13955	Photo/HV mark
28.01	0	14005	Photo/HV mark
28.11	0	14055	Photo/HV mark
28.21	0	14105	Photo/HV mark
28.31	0	14155	Photo/HV mark
28.41	0	14205	Photo/HV mark
28.432	0	14216	open eyes
28.51	0	14255	Photo/HV mark
28.61	0	14305	Photo/HV mark
28.71	0	14355	Photo/HV mark
28.81	0	14405	Photo/HV mark
28.91	0	14455	Photo/HV mark
29.01	0	14505	Photo/HV mark
29.11	0	14555	Photo/HV mark
29.21	0	14605	Photo/HV mark
29.31	0	14655	Photo/HV mark
29.41	0	14705	Photo/HV mark
29.51	0	14755	Photo/HV mark
29.61	0	14805	Photo/HV mark
29.71	0	14855	Photo/HV mark
29.81	0	14905	Photo/HV mark
29.91	0	14955	Photo/HV mark
30.01	0	15005	Photo/HV mark
30.11	0	15055	Photo/HV mark
30.21	0	15105	Photo/HV mark
30.31	0	15155	Photo/HV mark
30.41	0	15205	Photo/HV mark
30.51	0	15255	Photo/HV mark
30.61	0	15305	Photo/HV mark
30.71	0	15355	Photo/HV mark
30.81	0	15405	Photo/HV mark
30.91	0	15455	Photo/HV mark
31.01	0	15505	Photo/HV mark
31.11	0	15555	Photo/HV mark
31.21	0	15605	Photo/HV mark
31.31	0	15655	Photo/HV mark
31.41	0	15705	Photo/HV mark
31.51	0	15755	Photo/HV mark
31.61	0	15805	Photo/HV mark
31.71	0	15855	Photo/HV mark
31.81	0	15905	Photo/HV mark
31.91	0	15955	Photo/HV mark
32.01	0	16005	Photo/HV mark
32.11	0	16055	Photo/HV mark
32.21	0	16105	Photo/HV mark
32.31	0	16155	Photo/HV mark
32.391	0	16195.5	closed eyes
32.41	0	16205	Photo/HV mark
32.51	0	16255	Photo/HV mark
32.61	0	16305	Photo/HV mark
32.71	0	16355	Photo/HV mark
32.81	0	16405	Photo/HV mark
32.91	0	16455	Photo/HV mark
33.01	0	16505	Photo/HV mark
33.11	0	16555	Photo/HV mark
33.21	0	16605	Photo/HV mark
33.31	0	16655	Photo/HV mark
33.41	0	16705	Photo/HV mark
33.51	0	16755	Photo/HV mark
33.61	0	16805	Photo/HV mark
33.71	0	16855	Photo/HV mark
33.81	0	16905	Photo/HV mark
33.91	0	16955	Photo/HV mark
34.01	0	17005	Photo/HV mark
34.11	0	17055	Photo/HV mark
34.21	0	17105	Photo/HV mark
34.31	0	17155	Photo/HV mark
34.41	0	17205	Photo/HV mark
34.51	0	17255	Photo/HV mark
34.61	0	17305	Photo/HV mark
34.71	0	17355	Photo/HV mark
34.81	0	17405	Photo/HV mark
34.91	0	17455	Photo/HV mark
