onset	duration	sample	value
21.889	0	10944.5	PHOTO 5Hz           
21.892	0	10946	Photo/HV mark
22.092	0	11046	Photo/HV mark
22.292	0	11146	Photo/HV mark
22.492	0	11246	Photo/HV mark
22.692	0	11346	Photo/HV mark
22.892	0	11446	Photo/HV mark
23.092	0	11546	Photo/HV mark
23.292	0	11646	Photo/HV mark
23.492	0	11746	Photo/HV mark
23.692	0	11846	Photo/HV mark
23.892	0	11946	Photo/HV mark
24.092	0	12046	Photo/HV mark
24.292	0	12146	Photo/HV mark
24.492	0	12246	Photo/HV mark
24.526	0	12263	open eyes
24.692	0	12346	Photo/HV mark
24.892	0	12446	Photo/HV mark
25.092	0	12546	Photo/HV mark
25.292	0	12646	Photo/HV mark
25.492	0	12746	Photo/HV mark
25.692	0	12846	Photo/HV mark
25.892	0	12946	Photo/HV mark
26.092	0	13046	Photo/HV mark
26.292	0	13146	Photo/HV mark
26.492	0	13246	Photo/HV mark
26.692	0	13346	Photo/HV mark
26.892	0	13446	Photo/HV mark
27.092	0	13546	Photo/HV mark
27.292	0	13646	Photo/HV mark
27.425	0	13712.5	closed eyes
27.492	0	13746	Photo/HV mark
27.692	0	13846	Photo/HV mark
27.892	0	13946	Photo/HV mark
28.092	0	14046	Photo/HV mark
28.292	0	14146	Photo/HV mark
28.492	0	14246	Photo/HV mark
28.692	0	14346	Photo/HV mark
28.892	0	14446	Photo/HV mark
29.092	0	14546	Photo/HV mark
29.292	0	14646	Photo/HV mark
29.492	0	14746	Photo/HV mark
29.692	0	14846	Photo/HV mark
29.892	0	14946	Photo/HV mark
30.092	0	15046	Photo/HV mark
30.292	0	15146	Photo/HV mark
30.492	0	15246	Photo/HV mark
30.692	0	15346	Photo/HV mark
30.892	0	15446	Photo/HV mark
31.092	0	15546	Photo/HV mark
31.292	0	15646	Photo/HV mark
31.492	0	15746	Photo/HV mark
31.692	0	15846	Photo/HV mark
31.892	0	15946	Photo/HV mark
37.469	0	18734.5	Swallowing
41.89	0	20945	Photo/HV mark
41.975	0	20987.5	PHOTO 10Hz          
41.99	0	20995	Photo/HV mark
42.09	0	21045	Photo/HV mark
42.19	0	21095	Photo/HV mark
42.29	0	21145	Photo/HV mark
42.39	0	21195	Photo/HV mark
42.49	0	21245	Photo/HV mark
42.59	0	21295	Photo/HV mark
42.69	0	21345	Photo/HV mark
42.79	0	21395	Photo/HV mark
42.89	0	21445	Photo/HV mark
42.99	0	21495	Photo/HV mark
43.09	0	21545	Photo/HV mark
43.19	0	21595	Photo/HV mark
43.29	0	21645	Photo/HV mark
43.39	0	21695	Photo/HV mark
43.49	0	21745	Photo/HV mark
43.583	0	21791.5	open eyes
43.59	0	21795	Photo/HV mark
43.69	0	21845	Photo/HV mark
43.79	0	21895	Photo/HV mark
43.89	0	21945	Photo/HV mark
43.99	0	21995	Photo/HV mark
44.09	0	22045	Photo/HV mark
44.19	0	22095	Photo/HV mark
44.29	0	22145	Photo/HV mark
44.39	0	22195	Photo/HV mark
44.49	0	22245	Photo/HV mark
44.59	0	22295	Photo/HV mark
44.69	0	22345	Photo/HV mark
44.79	0	22395	Photo/HV mark
44.89	0	22445	Photo/HV mark
44.99	0	22495	Photo/HV mark
45.09	0	22545	Photo/HV mark
45.19	0	22595	Photo/HV mark
45.29	0	22645	Photo/HV mark
45.39	0	22695	Photo/HV mark
45.49	0	22745	Photo/HV mark
45.59	0	22795	Photo/HV mark
45.69	0	22845	Photo/HV mark
45.79	0	22895	Photo/HV mark
45.89	0	22945	Photo/HV mark
45.99	0	22995	Photo/HV mark
46.09	0	23045	Photo/HV mark
46.19	0	23095	Photo/HV mark
46.29	0	23145	Photo/HV mark
46.39	0	23195	Photo/HV mark
46.49	0	23245	Photo/HV mark
46.59	0	23295	Photo/HV mark
46.69	0	23345	Photo/HV mark
46.79	0	23395	Photo/HV mark
46.89	0	23445	Photo/HV mark
46.99	0	23495	Photo/HV mark
47.09	0	23545	Photo/HV mark
47.19	0	23595	Photo/HV mark
47.29	0	23645	Photo/HV mark
47.39	0	23695	Photo/HV mark
47.49	0	23745	Photo/HV mark
47.59	0	23795	Photo/HV mark
47.69	0	23845	Photo/HV mark
47.79	0	23895	Photo/HV mark
47.89	0	23945	Photo/HV mark
47.99	0	23995	Photo/HV mark
48.09	0	24045	Photo/HV mark
48.19	0	24095	Photo/HV mark
48.29	0	24145	Photo/HV mark
48.292	0	24146	closed eyes
48.39	0	24195	Photo/HV mark
48.49	0	24245	Photo/HV mark
48.59	0	24295	Photo/HV mark
48.69	0	24345	Photo/HV mark
48.79	0	24395	Photo/HV mark
48.89	0	24445	Photo/HV mark
48.99	0	24495	Photo/HV mark
49.09	0	24545	Photo/HV mark
49.19	0	24595	Photo/HV mark
49.29	0	24645	Photo/HV mark
49.39	0	24695	Photo/HV mark
49.49	0	24745	Photo/HV mark
49.59	0	24795	Photo/HV mark
49.69	0	24845	Photo/HV mark
49.79	0	24895	Photo/HV mark
49.89	0	24945	Photo/HV mark
49.99	0	24995	Photo/HV mark
50.09	0	25045	Photo/HV mark
50.19	0	25095	Photo/HV mark
50.29	0	25145	Photo/HV mark
50.39	0	25195	Photo/HV mark
50.49	0	25245	Photo/HV mark
50.59	0	25295	Photo/HV mark
50.69	0	25345	Photo/HV mark
50.79	0	25395	Photo/HV mark
50.89	0	25445	Photo/HV mark
50.99	0	25495	Photo/HV mark
51.09	0	25545	Photo/HV mark
51.19	0	25595	Photo/HV mark
51.29	0	25645	Photo/HV mark
51.39	0	25695	Photo/HV mark
51.49	0	25745	Photo/HV mark
51.59	0	25795	Photo/HV mark
51.69	0	25845	Photo/HV mark
51.79	0	25895	Photo/HV mark
51.89	0	25945	Photo/HV mark
56.075	0	28037.5	speech
61.888	0	30944	Photo/HV mark
61.899	0	30949.5	PHOTO 15Hz          
61.956	0	30978	Photo/HV mark
62.022	0	31011	Photo/HV mark
62.088	0	31044	Photo/HV mark
62.154	0	31077	Photo/HV mark
62.222	0	31111	Photo/HV mark
62.288	0	31144	Photo/HV mark
62.354	0	31177	Photo/HV mark
62.422	0	31211	Photo/HV mark
62.488	0	31244	Photo/HV mark
62.546	0	31273	open eyes
62.554	0	31277	Photo/HV mark
62.622	0	31311	Photo/HV mark
62.688	0	31344	Photo/HV mark
62.754	0	31377	Photo/HV mark
62.822	0	31411	Photo/HV mark
62.888	0	31444	Photo/HV mark
62.954	0	31477	Photo/HV mark
63.022	0	31511	Photo/HV mark
63.088	0	31544	Photo/HV mark
63.154	0	31577	Photo/HV mark
63.222	0	31611	Photo/HV mark
63.288	0	31644	Photo/HV mark
63.354	0	31677	Photo/HV mark
63.422	0	31711	Photo/HV mark
63.488	0	31744	Photo/HV mark
63.554	0	31777	Photo/HV mark
63.622	0	31811	Photo/HV mark
63.688	0	31844	Photo/HV mark
63.754	0	31877	Photo/HV mark
63.822	0	31911	Photo/HV mark
63.888	0	31944	Photo/HV mark
63.954	0	31977	Photo/HV mark
64.022	0	32011	Photo/HV mark
64.088	0	32044	Photo/HV mark
64.154	0	32077	Photo/HV mark
64.222	0	32111	Photo/HV mark
64.288	0	32144	Photo/HV mark
64.354	0	32177	Photo/HV mark
64.422	0	32211	Photo/HV mark
64.488	0	32244	Photo/HV mark
64.554	0	32277	Photo/HV mark
64.622	0	32311	Photo/HV mark
64.688	0	32344	Photo/HV mark
64.754	0	32377	Photo/HV mark
64.82	0	32410	Photo/HV mark
64.888	0	32444	Photo/HV mark
64.954	0	32477	Photo/HV mark
65.02	0	32510	Photo/HV mark
65.088	0	32544	Photo/HV mark
65.154	0	32577	Photo/HV mark
65.22	0	32610	Photo/HV mark
65.288	0	32644	Photo/HV mark
65.354	0	32677	Photo/HV mark
65.42	0	32710	Photo/HV mark
65.488	0	32744	Photo/HV mark
65.554	0	32777	Photo/HV mark
65.62	0	32810	Photo/HV mark
65.688	0	32844	Photo/HV mark
65.754	0	32877	Photo/HV mark
65.82	0	32910	Photo/HV mark
65.888	0	32944	Photo/HV mark
65.954	0	32977	Photo/HV mark
66.02	0	33010	Photo/HV mark
66.085	0	33042.5	closed eyes
66.088	0	33044	Photo/HV mark
66.154	0	33077	Photo/HV mark
66.22	0	33110	Photo/HV mark
66.288	0	33144	Photo/HV mark
66.354	0	33177	Photo/HV mark
66.42	0	33210	Photo/HV mark
66.488	0	33244	Photo/HV mark
66.554	0	33277	Photo/HV mark
66.62	0	33310	Photo/HV mark
66.688	0	33344	Photo/HV mark
66.754	0	33377	Photo/HV mark
66.82	0	33410	Photo/HV mark
66.888	0	33444	Photo/HV mark
66.954	0	33477	Photo/HV mark
67.02	0	33510	Photo/HV mark
67.088	0	33544	Photo/HV mark
67.154	0	33577	Photo/HV mark
67.22	0	33610	Photo/HV mark
67.286	0	33643	Photo/HV mark
67.354	0	33677	Photo/HV mark
67.42	0	33710	Photo/HV mark
67.486	0	33743	Photo/HV mark
67.554	0	33777	Photo/HV mark
67.62	0	33810	Photo/HV mark
67.686	0	33843	Photo/HV mark
67.754	0	33877	Photo/HV mark
67.82	0	33910	Photo/HV mark
67.886	0	33943	Photo/HV mark
67.954	0	33977	Photo/HV mark
68.02	0	34010	Photo/HV mark
68.086	0	34043	Photo/HV mark
68.154	0	34077	Photo/HV mark
68.22	0	34110	Photo/HV mark
68.286	0	34143	Photo/HV mark
68.354	0	34177	Photo/HV mark
68.42	0	34210	Photo/HV mark
68.486	0	34243	Photo/HV mark
68.554	0	34277	Photo/HV mark
68.62	0	34310	Photo/HV mark
68.686	0	34343	Photo/HV mark
68.754	0	34377	Photo/HV mark
68.82	0	34410	Photo/HV mark
68.886	0	34443	Photo/HV mark
68.954	0	34477	Photo/HV mark
69.02	0	34510	Photo/HV mark
69.086	0	34543	Photo/HV mark
69.154	0	34577	Photo/HV mark
69.22	0	34610	Photo/HV mark
69.286	0	34643	Photo/HV mark
69.354	0	34677	Photo/HV mark
69.42	0	34710	Photo/HV mark
69.486	0	34743	Photo/HV mark
69.554	0	34777	Photo/HV mark
69.62	0	34810	Photo/HV mark
69.686	0	34843	Photo/HV mark
69.754	0	34877	Photo/HV mark
69.82	0	34910	Photo/HV mark
69.886	0	34943	Photo/HV mark
69.952	0	34976	Photo/HV mark
70.02	0	35010	Photo/HV mark
70.086	0	35043	Photo/HV mark
70.152	0	35076	Photo/HV mark
70.22	0	35110	Photo/HV mark
70.286	0	35143	Photo/HV mark
70.352	0	35176	Photo/HV mark
70.42	0	35210	Photo/HV mark
70.486	0	35243	Photo/HV mark
70.552	0	35276	Photo/HV mark
70.62	0	35310	Photo/HV mark
70.686	0	35343	Photo/HV mark
70.752	0	35376	Photo/HV mark
70.82	0	35410	Photo/HV mark
70.886	0	35443	Photo/HV mark
70.952	0	35476	Photo/HV mark
71.02	0	35510	Photo/HV mark
71.086	0	35543	Photo/HV mark
71.152	0	35576	Photo/HV mark
71.22	0	35610	Photo/HV mark
71.286	0	35643	Photo/HV mark
71.352	0	35676	Photo/HV mark
71.42	0	35710	Photo/HV mark
71.486	0	35743	Photo/HV mark
71.552	0	35776	Photo/HV mark
71.62	0	35810	Photo/HV mark
71.686	0	35843	Photo/HV mark
71.752	0	35876	Photo/HV mark
71.82	0	35910	Photo/HV mark
71.886	0	35943	Photo/HV mark
81.886	0	40943	Photo/HV mark
81.904	0	40952	PHOTO 20Hz          
81.936	0	40968	Photo/HV mark
81.986	0	40993	Photo/HV mark
82.036	0	41018	Photo/HV mark
82.086	0	41043	Photo/HV mark
82.136	0	41068	Photo/HV mark
82.186	0	41093	Photo/HV mark
82.236	0	41118	Photo/HV mark
82.286	0	41143	Photo/HV mark
82.336	0	41168	Photo/HV mark
82.386	0	41193	Photo/HV mark
82.436	0	41218	Photo/HV mark
82.486	0	41243	Photo/HV mark
82.536	0	41268	Photo/HV mark
82.586	0	41293	Photo/HV mark
82.636	0	41318	Photo/HV mark
82.686	0	41343	Photo/HV mark
82.736	0	41368	Photo/HV mark
82.786	0	41393	Photo/HV mark
82.836	0	41418	Photo/HV mark
82.886	0	41443	Photo/HV mark
82.936	0	41468	Photo/HV mark
82.986	0	41493	Photo/HV mark
83.036	0	41518	Photo/HV mark
83.086	0	41543	Photo/HV mark
83.136	0	41568	Photo/HV mark
83.152	0	41576	open eyes
83.186	0	41593	Photo/HV mark
83.236	0	41618	Photo/HV mark
83.286	0	41643	Photo/HV mark
83.336	0	41668	Photo/HV mark
83.386	0	41693	Photo/HV mark
83.436	0	41718	Photo/HV mark
83.486	0	41743	Photo/HV mark
83.536	0	41768	Photo/HV mark
83.586	0	41793	Photo/HV mark
83.636	0	41818	Photo/HV mark
83.686	0	41843	Photo/HV mark
83.736	0	41868	Photo/HV mark
83.786	0	41893	Photo/HV mark
83.836	0	41918	Photo/HV mark
83.886	0	41943	Photo/HV mark
83.936	0	41968	Photo/HV mark
83.986	0	41993	Photo/HV mark
84.036	0	42018	Photo/HV mark
84.086	0	42043	Photo/HV mark
84.136	0	42068	Photo/HV mark
84.186	0	42093	Photo/HV mark
84.236	0	42118	Photo/HV mark
84.286	0	42143	Photo/HV mark
84.336	0	42168	Photo/HV mark
84.386	0	42193	Photo/HV mark
84.436	0	42218	Photo/HV mark
84.486	0	42243	Photo/HV mark
84.536	0	42268	Photo/HV mark
84.586	0	42293	Photo/HV mark
84.636	0	42318	Photo/HV mark
84.686	0	42343	Photo/HV mark
84.736	0	42368	Photo/HV mark
84.786	0	42393	Photo/HV mark
84.836	0	42418	Photo/HV mark
84.886	0	42443	Photo/HV mark
84.936	0	42468	Photo/HV mark
84.986	0	42493	Photo/HV mark
85.036	0	42518	Photo/HV mark
85.086	0	42543	Photo/HV mark
85.136	0	42568	Photo/HV mark
85.186	0	42593	Photo/HV mark
85.236	0	42618	Photo/HV mark
85.286	0	42643	Photo/HV mark
85.336	0	42668	Photo/HV mark
85.386	0	42693	Photo/HV mark
85.436	0	42718	Photo/HV mark
85.484	0	42742	Photo/HV mark
85.534	0	42767	Photo/HV mark
85.584	0	42792	Photo/HV mark
85.634	0	42817	Photo/HV mark
85.684	0	42842	Photo/HV mark
85.734	0	42867	Photo/HV mark
85.784	0	42892	Photo/HV mark
85.834	0	42917	Photo/HV mark
85.884	0	42942	Photo/HV mark
85.934	0	42967	Photo/HV mark
85.984	0	42992	Photo/HV mark
86.034	0	43017	Photo/HV mark
86.084	0	43042	Photo/HV mark
86.134	0	43067	Photo/HV mark
86.184	0	43092	Photo/HV mark
86.234	0	43117	Photo/HV mark
86.284	0	43142	Photo/HV mark
86.306	0	43153	closed eyes
86.334	0	43167	Photo/HV mark
86.384	0	43192	Photo/HV mark
86.434	0	43217	Photo/HV mark
86.484	0	43242	Photo/HV mark
86.534	0	43267	Photo/HV mark
86.584	0	43292	Photo/HV mark
86.634	0	43317	Photo/HV mark
86.684	0	43342	Photo/HV mark
86.734	0	43367	Photo/HV mark
86.784	0	43392	Photo/HV mark
86.834	0	43417	Photo/HV mark
86.884	0	43442	Photo/HV mark
86.934	0	43467	Photo/HV mark
86.984	0	43492	Photo/HV mark
87.034	0	43517	Photo/HV mark
87.084	0	43542	Photo/HV mark
87.134	0	43567	Photo/HV mark
87.184	0	43592	Photo/HV mark
87.234	0	43617	Photo/HV mark
87.284	0	43642	Photo/HV mark
87.334	0	43667	Photo/HV mark
87.384	0	43692	Photo/HV mark
87.434	0	43717	Photo/HV mark
87.484	0	43742	Photo/HV mark
87.534	0	43767	Photo/HV mark
87.584	0	43792	Photo/HV mark
87.634	0	43817	Photo/HV mark
87.684	0	43842	Photo/HV mark
87.734	0	43867	Photo/HV mark
87.784	0	43892	Photo/HV mark
87.834	0	43917	Photo/HV mark
87.884	0	43942	Photo/HV mark
87.934	0	43967	Photo/HV mark
87.984	0	43992	Photo/HV mark
88.034	0	44017	Photo/HV mark
88.084	0	44042	Photo/HV mark
88.134	0	44067	Photo/HV mark
88.184	0	44092	Photo/HV mark
88.234	0	44117	Photo/HV mark
88.284	0	44142	Photo/HV mark
88.334	0	44167	Photo/HV mark
88.384	0	44192	Photo/HV mark
88.434	0	44217	Photo/HV mark
88.484	0	44242	Photo/HV mark
88.534	0	44267	Photo/HV mark
88.584	0	44292	Photo/HV mark
88.634	0	44317	Photo/HV mark
88.684	0	44342	Photo/HV mark
88.734	0	44367	Photo/HV mark
88.784	0	44392	Photo/HV mark
88.834	0	44417	Photo/HV mark
88.884	0	44442	Photo/HV mark
88.934	0	44467	Photo/HV mark
88.984	0	44492	Photo/HV mark
89.034	0	44517	Photo/HV mark
89.084	0	44542	Photo/HV mark
89.134	0	44567	Photo/HV mark
89.184	0	44592	Photo/HV mark
89.234	0	44617	Photo/HV mark
89.284	0	44642	Photo/HV mark
89.334	0	44667	Photo/HV mark
89.384	0	44692	Photo/HV mark
89.434	0	44717	Photo/HV mark
89.484	0	44742	Photo/HV mark
89.534	0	44767	Photo/HV mark
89.584	0	44792	Photo/HV mark
89.634	0	44817	Photo/HV mark
89.684	0	44842	Photo/HV mark
89.734	0	44867	Photo/HV mark
89.784	0	44892	Photo/HV mark
89.834	0	44917	Photo/HV mark
89.884	0	44942	Photo/HV mark
89.934	0	44967	Photo/HV mark
89.984	0	44992	Photo/HV mark
90.034	0	45017	Photo/HV mark
90.084	0	45042	Photo/HV mark
90.134	0	45067	Photo/HV mark
90.184	0	45092	Photo/HV mark
90.234	0	45117	Photo/HV mark
90.284	0	45142	Photo/HV mark
90.332	0	45166	Photo/HV mark
90.382	0	45191	Photo/HV mark
90.432	0	45216	Photo/HV mark
90.482	0	45241	Photo/HV mark
90.532	0	45266	Photo/HV mark
90.582	0	45291	Photo/HV mark
90.632	0	45316	Photo/HV mark
90.682	0	45341	Photo/HV mark
90.732	0	45366	Photo/HV mark
90.782	0	45391	Photo/HV mark
90.832	0	45416	Photo/HV mark
90.882	0	45441	Photo/HV mark
90.932	0	45466	Photo/HV mark
90.982	0	45491	Photo/HV mark
91.032	0	45516	Photo/HV mark
91.082	0	45541	Photo/HV mark
91.132	0	45566	Photo/HV mark
91.182	0	45591	Photo/HV mark
91.232	0	45616	Photo/HV mark
91.282	0	45641	Photo/HV mark
91.332	0	45666	Photo/HV mark
91.382	0	45691	Photo/HV mark
91.432	0	45716	Photo/HV mark
91.482	0	45741	Photo/HV mark
91.532	0	45766	Photo/HV mark
91.582	0	45791	Photo/HV mark
91.632	0	45816	Photo/HV mark
91.682	0	45841	Photo/HV mark
