onset	duration	sample	value
0.734	0	367	PHOTO 5Hz           
0.736	0	368	Photo/HV mark
0.936	0	468	Photo/HV mark
1.136	0	568	Photo/HV mark
1.336	0	668	Photo/HV mark
1.536	0	768	Photo/HV mark
1.736	0	868	Photo/HV mark
1.936	0	968	Photo/HV mark
2.136	0	1068	Photo/HV mark
2.336	0	1168	Photo/HV mark
2.536	0	1268	Photo/HV mark
2.736	0	1368	Photo/HV mark
2.936	0	1468	Photo/HV mark
3.136	0	1568	Photo/HV mark
3.336	0	1668	Photo/HV mark
3.536	0	1768	Photo/HV mark
3.736	0	1868	Photo/HV mark
3.936	0	1968	Photo/HV mark
4.136	0	2068	Photo/HV mark
4.336	0	2168	Photo/HV mark
4.536	0	2268	Photo/HV mark
4.736	0	2368	Photo/HV mark
4.936	0	2468	Photo/HV mark
5.136	0	2568	Photo/HV mark
5.336	0	2668	Photo/HV mark
5.536	0	2768	Photo/HV mark
5.736	0	2868	Photo/HV mark
5.936	0	2968	Photo/HV mark
6.106	0	3053	closed eyes
6.136	0	3068	Photo/HV mark
6.336	0	3168	Photo/HV mark
6.536	0	3268	Photo/HV mark
6.736	0	3368	Photo/HV mark
6.936	0	3468	Photo/HV mark
7.136	0	3568	Photo/HV mark
7.336	0	3668	Photo/HV mark
7.536	0	3768	Photo/HV mark
7.736	0	3868	Photo/HV mark
7.936	0	3968	Photo/HV mark
8.136	0	4068	Photo/HV mark
8.336	0	4168	Photo/HV mark
8.536	0	4268	Photo/HV mark
8.736	0	4368	Photo/HV mark
8.936	0	4468	Photo/HV mark
9.136	0	4568	Photo/HV mark
9.336	0	4668	Photo/HV mark
9.536	0	4768	Photo/HV mark
9.736	0	4868	Photo/HV mark
9.936	0	4968	Photo/HV mark
10.136	0	5068	Photo/HV mark
10.336	0	5168	Photo/HV mark
10.536	0	5268	Photo/HV mark
10.736	0	5368	Photo/HV mark
20.734	0	10367	Photo/HV mark
20.804	0	10402	PHOTO 10Hz          
20.834	0	10417	Photo/HV mark
20.934	0	10467	Photo/HV mark
21.034	0	10517	Photo/HV mark
21.134	0	10567	Photo/HV mark
21.234	0	10617	Photo/HV mark
21.334	0	10667	Photo/HV mark
21.434	0	10717	Photo/HV mark
21.534	0	10767	Photo/HV mark
21.634	0	10817	Photo/HV mark
21.734	0	10867	Photo/HV mark
21.834	0	10917	Photo/HV mark
21.934	0	10967	Photo/HV mark
22.034	0	11017	Photo/HV mark
22.134	0	11067	Photo/HV mark
22.234	0	11117	Photo/HV mark
22.334	0	11167	Photo/HV mark
22.434	0	11217	Photo/HV mark
22.534	0	11267	Photo/HV mark
22.634	0	11317	Photo/HV mark
