onset	duration	sample	value
1.394	0	697	PHOTO 5Hz           
1.396	0	698	Photo/HV mark
1.596	0	798	Photo/HV mark
1.796	0	898	Photo/HV mark
1.996	0	998	Photo/HV mark
2.196	0	1098	Photo/HV mark
2.396	0	1198	Photo/HV mark
2.596	0	1298	Photo/HV mark
2.796	0	1398	Photo/HV mark
2.996	0	1498	Photo/HV mark
3.196	0	1598	Photo/HV mark
3.396	0	1698	Photo/HV mark
3.596	0	1798	Photo/HV mark
3.796	0	1898	Photo/HV mark
3.996	0	1998	Photo/HV mark
4.196	0	2098	Photo/HV mark
4.31	0	2155	open eyes
4.396	0	2198	Photo/HV mark
4.596	0	2298	Photo/HV mark
4.796	0	2398	Photo/HV mark
4.996	0	2498	Photo/HV mark
5.196	0	2598	Photo/HV mark
5.396	0	2698	Photo/HV mark
5.596	0	2798	Photo/HV mark
5.796	0	2898	Photo/HV mark
5.996	0	2998	Photo/HV mark
6.196	0	3098	Photo/HV mark
6.396	0	3198	Photo/HV mark
6.596	0	3298	Photo/HV mark
6.796	0	3398	Photo/HV mark
6.996	0	3498	Photo/HV mark
7.196	0	3598	Photo/HV mark
7.396	0	3698	Photo/HV mark
7.596	0	3798	Photo/HV mark
7.796	0	3898	Photo/HV mark
7.996	0	3998	Photo/HV mark
8.196	0	4098	Photo/HV mark
8.396	0	4198	Photo/HV mark
8.596	0	4298	Photo/HV mark
8.796	0	4398	Photo/HV mark
8.996	0	4498	Photo/HV mark
9.196	0	4598	Photo/HV mark
9.396	0	4698	Photo/HV mark
9.596	0	4798	Photo/HV mark
9.784	0	4892	closed eyes
9.796	0	4898	Photo/HV mark
9.996	0	4998	Photo/HV mark
10.196	0	5098	Photo/HV mark
10.396	0	5198	Photo/HV mark
10.596	0	5298	Photo/HV mark
10.796	0	5398	Photo/HV mark
10.996	0	5498	Photo/HV mark
11.196	0	5598	Photo/HV mark
11.396	0	5698	Photo/HV mark
15.677	0	7838.5	eye movement
