onset	duration	sample	value
0.064	0	32	Photo/HV mark
0.264	0	132	Photo/HV mark
0.464	0	232	Photo/HV mark
0.664	0	332	Photo/HV mark
0.864	0	432	Photo/HV mark
1.064	0	532	Photo/HV mark
1.264	0	632	Photo/HV mark
1.464	0	732	Photo/HV mark
1.664	0	832	Photo/HV mark
1.864	0	932	Photo/HV mark
2.064	0	1032	Photo/HV mark
2.111	0	1055.5	open eyes
2.264	0	1132	Photo/HV mark
2.464	0	1232	Photo/HV mark
2.664	0	1332	Photo/HV mark
2.864	0	1432	Photo/HV mark
3.064	0	1532	Photo/HV mark
3.264	0	1632	Photo/HV mark
3.464	0	1732	Photo/HV mark
3.664	0	1832	Photo/HV mark
3.864	0	1932	Photo/HV mark
4.064	0	2032	Photo/HV mark
4.264	0	2132	Photo/HV mark
4.464	0	2232	Photo/HV mark
4.664	0	2332	Photo/HV mark
4.864	0	2432	Photo/HV mark
5.064	0	2532	Photo/HV mark
5.264	0	2632	Photo/HV mark
5.464	0	2732	Photo/HV mark
5.664	0	2832	Photo/HV mark
5.695	0	2847.5	closed eyes
5.864	0	2932	Photo/HV mark
6.064	0	3032	Photo/HV mark
6.264	0	3132	Photo/HV mark
6.464	0	3232	Photo/HV mark
6.664	0	3332	Photo/HV mark
6.864	0	3432	Photo/HV mark
7.064	0	3532	Photo/HV mark
7.264	0	3632	Photo/HV mark
7.464	0	3732	Photo/HV mark
7.664	0	3832	Photo/HV mark
7.864	0	3932	Photo/HV mark
8.064	0	4032	Photo/HV mark
8.262	0	4131	Photo/HV mark
8.462	0	4231	Photo/HV mark
8.662	0	4331	Photo/HV mark
8.862	0	4431	Photo/HV mark
9.062	0	4531	Photo/HV mark
9.262	0	4631	Photo/HV mark
9.462	0	4731	Photo/HV mark
19.462	0	9731	Photo/HV mark
19.546	0	9773	PHOTO 10Hz          
19.562	0	9781	Photo/HV mark
19.662	0	9831	Photo/HV mark
19.762	0	9881	Photo/HV mark
19.862	0	9931	Photo/HV mark
19.962	0	9981	Photo/HV mark
20.062	0	10031	Photo/HV mark
20.162	0	10081	Photo/HV mark
20.262	0	10131	Photo/HV mark
20.362	0	10181	Photo/HV mark
20.462	0	10231	Photo/HV mark
20.562	0	10281	Photo/HV mark
20.662	0	10331	Photo/HV mark
20.762	0	10381	Photo/HV mark
20.862	0	10431	Photo/HV mark
20.962	0	10481	Photo/HV mark
21.062	0	10531	Photo/HV mark
21.162	0	10581	Photo/HV mark
21.262	0	10631	Photo/HV mark
21.362	0	10681	Photo/HV mark
21.462	0	10731	Photo/HV mark
21.562	0	10781	Photo/HV mark
21.662	0	10831	Photo/HV mark
21.762	0	10881	Photo/HV mark
21.862	0	10931	Photo/HV mark
21.909	0	10954.5	open eyes
21.962	0	10981	Photo/HV mark
22.062	0	11031	Photo/HV mark
22.162	0	11081	Photo/HV mark
22.262	0	11131	Photo/HV mark
22.362	0	11181	Photo/HV mark
22.462	0	11231	Photo/HV mark
22.562	0	11281	Photo/HV mark
22.662	0	11331	Photo/HV mark
22.762	0	11381	Photo/HV mark
22.862	0	11431	Photo/HV mark
22.962	0	11481	Photo/HV mark
23.062	0	11531	Photo/HV mark
23.162	0	11581	Photo/HV mark
23.262	0	11631	Photo/HV mark
23.362	0	11681	Photo/HV mark
23.462	0	11731	Photo/HV mark
23.562	0	11781	Photo/HV mark
23.662	0	11831	Photo/HV mark
23.762	0	11881	Photo/HV mark
23.862	0	11931	Photo/HV mark
23.962	0	11981	Photo/HV mark
24.062	0	12031	Photo/HV mark
24.162	0	12081	Photo/HV mark
24.262	0	12131	Photo/HV mark
24.362	0	12181	Photo/HV mark
24.462	0	12231	Photo/HV mark
24.562	0	12281	Photo/HV mark
24.662	0	12331	Photo/HV mark
24.762	0	12381	Photo/HV mark
24.862	0	12431	Photo/HV mark
24.962	0	12481	Photo/HV mark
25.062	0	12531	Photo/HV mark
25.162	0	12581	Photo/HV mark
25.262	0	12631	Photo/HV mark
25.362	0	12681	Photo/HV mark
25.462	0	12731	Photo/HV mark
25.562	0	12781	Photo/HV mark
25.662	0	12831	Photo/HV mark
25.703	0	12851.5	closed eyes
25.762	0	12881	Photo/HV mark
25.862	0	12931	Photo/HV mark
25.962	0	12981	Photo/HV mark
26.062	0	13031	Photo/HV mark
26.162	0	13081	Photo/HV mark
26.262	0	13131	Photo/HV mark
26.362	0	13181	Photo/HV mark
26.462	0	13231	Photo/HV mark
26.562	0	13281	Photo/HV mark
26.662	0	13331	Photo/HV mark
26.762	0	13381	Photo/HV mark
26.862	0	13431	Photo/HV mark
26.962	0	13481	Photo/HV mark
27.062	0	13531	Photo/HV mark
27.162	0	13581	Photo/HV mark
27.262	0	13631	Photo/HV mark
27.362	0	13681	Photo/HV mark
27.462	0	13731	Photo/HV mark
27.562	0	13781	Photo/HV mark
27.662	0	13831	Photo/HV mark
27.762	0	13881	Photo/HV mark
27.862	0	13931	Photo/HV mark
27.962	0	13981	Photo/HV mark
28.062	0	14031	Photo/HV mark
28.162	0	14081	Photo/HV mark
28.262	0	14131	Photo/HV mark
28.362	0	14181	Photo/HV mark
28.462	0	14231	Photo/HV mark
28.562	0	14281	Photo/HV mark
28.662	0	14331	Photo/HV mark
28.762	0	14381	Photo/HV mark
