onset	duration	sample	value
0.297	0	148.5	PHOTO 5Hz           
0.3	0	150	Photo/HV mark
0.5	0	250	Photo/HV mark
0.7	0	350	Photo/HV mark
0.9	0	450	Photo/HV mark
1.1	0	550	Photo/HV mark
1.3	0	650	Photo/HV mark
1.5	0	750	Photo/HV mark
1.7	0	850	Photo/HV mark
1.9	0	950	Photo/HV mark
2.1	0	1050	Photo/HV mark
2.3	0	1150	Photo/HV mark
2.494	0	1247	open eyes
2.5	0	1250	Photo/HV mark
2.7	0	1350	Photo/HV mark
2.9	0	1450	Photo/HV mark
3.1	0	1550	Photo/HV mark
3.3	0	1650	Photo/HV mark
3.5	0	1750	Photo/HV mark
3.698	0	1849	Photo/HV mark
3.898	0	1949	Photo/HV mark
4.098	0	2049	Photo/HV mark
4.298	0	2149	Photo/HV mark
4.498	0	2249	Photo/HV mark
4.698	0	2349	Photo/HV mark
4.898	0	2449	Photo/HV mark
5.098	0	2549	Photo/HV mark
5.298	0	2649	Photo/HV mark
5.498	0	2749	Photo/HV mark
5.698	0	2849	Photo/HV mark
5.898	0	2949	Photo/HV mark
6.098	0	3049	Photo/HV mark
6.298	0	3149	Photo/HV mark
6.498	0	3249	Photo/HV mark
6.698	0	3349	Photo/HV mark
6.784	0	3392	closed eyes
6.898	0	3449	Photo/HV mark
7.098	0	3549	Photo/HV mark
7.298	0	3649	Photo/HV mark
7.498	0	3749	Photo/HV mark
7.698	0	3849	Photo/HV mark
7.898	0	3949	Photo/HV mark
8.098	0	4049	Photo/HV mark
8.298	0	4149	Photo/HV mark
8.498	0	4249	Photo/HV mark
8.698	0	4349	Photo/HV mark
8.898	0	4449	Photo/HV mark
9.098	0	4549	Photo/HV mark
9.298	0	4649	Photo/HV mark
9.498	0	4749	Photo/HV mark
9.698	0	4849	Photo/HV mark
9.898	0	4949	Photo/HV mark
10.098	0	5049	Photo/HV mark
10.298	0	5149	Photo/HV mark
19.86	0	9930	Swallowing
20.298	0	10149	Photo/HV mark
20.371	0	10185.5	PHOTO 10Hz          
20.398	0	10199	Photo/HV mark
20.498	0	10249	Photo/HV mark
20.598	0	10299	Photo/HV mark
20.698	0	10349	Photo/HV mark
20.798	0	10399	Photo/HV mark
20.898	0	10449	Photo/HV mark
20.998	0	10499	Photo/HV mark
21.098	0	10549	Photo/HV mark
21.198	0	10599	Photo/HV mark
21.298	0	10649	Photo/HV mark
21.398	0	10699	Photo/HV mark
21.498	0	10749	Photo/HV mark
21.598	0	10799	Photo/HV mark
21.698	0	10849	Photo/HV mark
21.798	0	10899	Photo/HV mark
21.898	0	10949	Photo/HV mark
21.998	0	10999	Photo/HV mark
22.098	0	11049	Photo/HV mark
22.179	0	11089.5	open eyes
22.198	0	11099	Photo/HV mark
22.298	0	11149	Photo/HV mark
22.398	0	11199	Photo/HV mark
22.498	0	11249	Photo/HV mark
22.598	0	11299	Photo/HV mark
22.698	0	11349	Photo/HV mark
22.798	0	11399	Photo/HV mark
22.898	0	11449	Photo/HV mark
22.998	0	11499	Photo/HV mark
23.098	0	11549	Photo/HV mark
23.198	0	11599	Photo/HV mark
23.298	0	11649	Photo/HV mark
23.398	0	11699	Photo/HV mark
23.498	0	11749	Photo/HV mark
23.598	0	11799	Photo/HV mark
23.698	0	11849	Photo/HV mark
23.798	0	11899	Photo/HV mark
23.898	0	11949	Photo/HV mark
23.998	0	11999	Photo/HV mark
24.098	0	12049	Photo/HV mark
24.198	0	12099	Photo/HV mark
