onset	duration	sample	value
15.563	0	7781.5	PHOTO 5Hz           
15.566	0	7783	Photo/HV mark
15.766	0	7883	Photo/HV mark
15.966	0	7983	Photo/HV mark
16.166	0	8083	Photo/HV mark
16.366	0	8183	Photo/HV mark
16.566	0	8283	Photo/HV mark
16.766	0	8383	Photo/HV mark
16.966	0	8483	Photo/HV mark
17.166	0	8583	Photo/HV mark
17.366	0	8683	Photo/HV mark
17.566	0	8783	Photo/HV mark
17.766	0	8883	Photo/HV mark
17.773	0	8886.5	open eyes
17.966	0	8983	Photo/HV mark
18.166	0	9083	Photo/HV mark
18.366	0	9183	Photo/HV mark
18.566	0	9283	Photo/HV mark
18.766	0	9383	Photo/HV mark
18.966	0	9483	Photo/HV mark
19.166	0	9583	Photo/HV mark
19.366	0	9683	Photo/HV mark
19.566	0	9783	Photo/HV mark
19.766	0	9883	Photo/HV mark
19.966	0	9983	Photo/HV mark
20.166	0	10083	Photo/HV mark
20.366	0	10183	Photo/HV mark
20.566	0	10283	Photo/HV mark
20.766	0	10383	Photo/HV mark
20.805	0	10402.5	closed eyes
20.966	0	10483	Photo/HV mark
21.166	0	10583	Photo/HV mark
21.366	0	10683	Photo/HV mark
21.566	0	10783	Photo/HV mark
21.766	0	10883	Photo/HV mark
21.966	0	10983	Photo/HV mark
22.166	0	11083	Photo/HV mark
22.366	0	11183	Photo/HV mark
22.566	0	11283	Photo/HV mark
22.766	0	11383	Photo/HV mark
22.966	0	11483	Photo/HV mark
23.166	0	11583	Photo/HV mark
23.366	0	11683	Photo/HV mark
23.566	0	11783	Photo/HV mark
23.766	0	11883	Photo/HV mark
23.966	0	11983	Photo/HV mark
24.166	0	12083	Photo/HV mark
24.366	0	12183	Photo/HV mark
24.566	0	12283	Photo/HV mark
24.764	0	12382	Photo/HV mark
24.964	0	12482	Photo/HV mark
25.164	0	12582	Photo/HV mark
25.364	0	12682	Photo/HV mark
25.564	0	12782	Photo/HV mark
35.564	0	17782	Photo/HV mark
35.664	0	17832	Photo/HV mark
35.669	0	17834.5	PHOTO 10Hz          
35.764	0	17882	Photo/HV mark
35.864	0	17932	Photo/HV mark
35.964	0	17982	Photo/HV mark
36.064	0	18032	Photo/HV mark
36.164	0	18082	Photo/HV mark
36.264	0	18132	Photo/HV mark
36.364	0	18182	Photo/HV mark
36.464	0	18232	Photo/HV mark
36.564	0	18282	Photo/HV mark
36.664	0	18332	Photo/HV mark
36.764	0	18382	Photo/HV mark
36.864	0	18432	Photo/HV mark
36.964	0	18482	Photo/HV mark
37.064	0	18532	Photo/HV mark
37.164	0	18582	Photo/HV mark
37.264	0	18632	Photo/HV mark
37.324	0	18662	open eyes
37.364	0	18682	Photo/HV mark
37.464	0	18732	Photo/HV mark
37.564	0	18782	Photo/HV mark
37.664	0	18832	Photo/HV mark
37.764	0	18882	Photo/HV mark
37.864	0	18932	Photo/HV mark
37.964	0	18982	Photo/HV mark
38.064	0	19032	Photo/HV mark
38.164	0	19082	Photo/HV mark
38.264	0	19132	Photo/HV mark
38.364	0	19182	Photo/HV mark
38.464	0	19232	Photo/HV mark
38.564	0	19282	Photo/HV mark
38.664	0	19332	Photo/HV mark
38.764	0	19382	Photo/HV mark
38.864	0	19432	Photo/HV mark
38.964	0	19482	Photo/HV mark
39.064	0	19532	Photo/HV mark
39.164	0	19582	Photo/HV mark
39.264	0	19632	Photo/HV mark
39.364	0	19682	Photo/HV mark
39.464	0	19732	Photo/HV mark
39.564	0	19782	Photo/HV mark
39.664	0	19832	Photo/HV mark
39.764	0	19882	Photo/HV mark
39.864	0	19932	Photo/HV mark
39.964	0	19982	Photo/HV mark
40.064	0	20032	Photo/HV mark
40.164	0	20082	Photo/HV mark
40.264	0	20132	Photo/HV mark
40.364	0	20182	Photo/HV mark
40.464	0	20232	Photo/HV mark
40.564	0	20282	Photo/HV mark
40.664	0	20332	Photo/HV mark
40.764	0	20382	Photo/HV mark
40.864	0	20432	Photo/HV mark
40.964	0	20482	Photo/HV mark
41.051	0	20525.5	closed eyes
41.064	0	20532	Photo/HV mark
41.164	0	20582	Photo/HV mark
41.264	0	20632	Photo/HV mark
41.364	0	20682	Photo/HV mark
41.464	0	20732	Photo/HV mark
41.564	0	20782	Photo/HV mark
41.664	0	20832	Photo/HV mark
41.764	0	20882	Photo/HV mark
41.864	0	20932	Photo/HV mark
41.964	0	20982	Photo/HV mark
42.064	0	21032	Photo/HV mark
42.164	0	21082	Photo/HV mark
42.264	0	21132	Photo/HV mark
42.364	0	21182	Photo/HV mark
42.464	0	21232	Photo/HV mark
42.564	0	21282	Photo/HV mark
42.664	0	21332	Photo/HV mark
42.764	0	21382	Photo/HV mark
42.864	0	21432	Photo/HV mark
42.964	0	21482	Photo/HV mark
43.064	0	21532	Photo/HV mark
43.164	0	21582	Photo/HV mark
43.264	0	21632	Photo/HV mark
43.364	0	21682	Photo/HV mark
43.464	0	21732	Photo/HV mark
43.564	0	21782	Photo/HV mark
43.664	0	21832	Photo/HV mark
43.764	0	21882	Photo/HV mark
43.864	0	21932	Photo/HV mark
43.964	0	21982	Photo/HV mark
44.064	0	22032	Photo/HV mark
44.164	0	22082	Photo/HV mark
44.264	0	22132	Photo/HV mark
44.364	0	22182	Photo/HV mark
44.464	0	22232	Photo/HV mark
44.564	0	22282	Photo/HV mark
44.664	0	22332	Photo/HV mark
44.764	0	22382	Photo/HV mark
44.864	0	22432	Photo/HV mark
44.964	0	22482	Photo/HV mark
45.064	0	22532	Photo/HV mark
45.164	0	22582	Photo/HV mark
45.264	0	22632	Photo/HV mark
45.364	0	22682	Photo/HV mark
45.464	0	22732	Photo/HV mark
45.564	0	22782	Photo/HV mark
55.562	0	27781	Photo/HV mark
55.575	0	27787.5	PHOTO 15Hz          
55.628	0	27814	Photo/HV mark
55.696	0	27848	Photo/HV mark
55.762	0	27881	Photo/HV mark
55.828	0	27914	Photo/HV mark
55.896	0	27948	Photo/HV mark
55.962	0	27981	Photo/HV mark
56.028	0	28014	Photo/HV mark
56.096	0	28048	Photo/HV mark
56.162	0	28081	Photo/HV mark
56.228	0	28114	Photo/HV mark
56.296	0	28148	Photo/HV mark
56.362	0	28181	Photo/HV mark
56.428	0	28214	Photo/HV mark
56.496	0	28248	Photo/HV mark
56.562	0	28281	Photo/HV mark
56.628	0	28314	Photo/HV mark
56.696	0	28348	Photo/HV mark
56.762	0	28381	Photo/HV mark
56.828	0	28414	Photo/HV mark
56.896	0	28448	Photo/HV mark
56.962	0	28481	Photo/HV mark
57.028	0	28514	Photo/HV mark
57.096	0	28548	Photo/HV mark
57.162	0	28581	Photo/HV mark
57.228	0	28614	Photo/HV mark
57.296	0	28648	Photo/HV mark
57.362	0	28681	Photo/HV mark
57.428	0	28714	Photo/HV mark
57.496	0	28748	Photo/HV mark
57.562	0	28781	Photo/HV mark
57.628	0	28814	Photo/HV mark
57.694	0	28847	Photo/HV mark
57.762	0	28881	Photo/HV mark
57.828	0	28914	Photo/HV mark
57.894	0	28947	Photo/HV mark
57.929	0	28964.5	open eyes
57.962	0	28981	Photo/HV mark
58.028	0	29014	Photo/HV mark
58.094	0	29047	Photo/HV mark
58.162	0	29081	Photo/HV mark
58.228	0	29114	Photo/HV mark
58.294	0	29147	Photo/HV mark
58.362	0	29181	Photo/HV mark
58.428	0	29214	Photo/HV mark
58.494	0	29247	Photo/HV mark
58.562	0	29281	Photo/HV mark
58.628	0	29314	Photo/HV mark
58.694	0	29347	Photo/HV mark
58.762	0	29381	Photo/HV mark
58.828	0	29414	Photo/HV mark
58.894	0	29447	Photo/HV mark
58.962	0	29481	Photo/HV mark
59.028	0	29514	Photo/HV mark
59.094	0	29547	Photo/HV mark
59.162	0	29581	Photo/HV mark
59.228	0	29614	Photo/HV mark
59.294	0	29647	Photo/HV mark
59.362	0	29681	Photo/HV mark
59.428	0	29714	Photo/HV mark
59.494	0	29747	Photo/HV mark
59.562	0	29781	Photo/HV mark
59.628	0	29814	Photo/HV mark
59.694	0	29847	Photo/HV mark
59.762	0	29881	Photo/HV mark
59.828	0	29914	Photo/HV mark
59.894	0	29947	Photo/HV mark
59.962	0	29981	Photo/HV mark
60.028	0	30014	Photo/HV mark
60.094	0	30047	Photo/HV mark
60.162	0	30081	Photo/HV mark
60.228	0	30114	Photo/HV mark
60.294	0	30147	Photo/HV mark
60.36	0	30180	Photo/HV mark
60.428	0	30214	Photo/HV mark
60.494	0	30247	Photo/HV mark
60.56	0	30280	Photo/HV mark
60.628	0	30314	Photo/HV mark
60.694	0	30347	Photo/HV mark
60.76	0	30380	Photo/HV mark
60.828	0	30414	Photo/HV mark
60.894	0	30447	Photo/HV mark
60.96	0	30480	Photo/HV mark
61.028	0	30514	Photo/HV mark
61.094	0	30547	Photo/HV mark
61.16	0	30580	Photo/HV mark
61.228	0	30614	Photo/HV mark
61.256	0	30628	closed eyes
61.294	0	30647	Photo/HV mark
61.36	0	30680	Photo/HV mark
61.428	0	30714	Photo/HV mark
61.494	0	30747	Photo/HV mark
61.56	0	30780	Photo/HV mark
61.628	0	30814	Photo/HV mark
61.694	0	30847	Photo/HV mark
61.76	0	30880	Photo/HV mark
61.828	0	30914	Photo/HV mark
61.894	0	30947	Photo/HV mark
61.96	0	30980	Photo/HV mark
62.028	0	31014	Photo/HV mark
62.094	0	31047	Photo/HV mark
62.16	0	31080	Photo/HV mark
62.228	0	31114	Photo/HV mark
62.294	0	31147	Photo/HV mark
62.36	0	31180	Photo/HV mark
62.428	0	31214	Photo/HV mark
62.494	0	31247	Photo/HV mark
62.56	0	31280	Photo/HV mark
62.628	0	31314	Photo/HV mark
62.694	0	31347	Photo/HV mark
62.76	0	31380	Photo/HV mark
62.826	0	31413	Photo/HV mark
62.894	0	31447	Photo/HV mark
62.96	0	31480	Photo/HV mark
63.026	0	31513	Photo/HV mark
63.094	0	31547	Photo/HV mark
63.16	0	31580	Photo/HV mark
63.226	0	31613	Photo/HV mark
63.294	0	31647	Photo/HV mark
63.36	0	31680	Photo/HV mark
63.426	0	31713	Photo/HV mark
63.494	0	31747	Photo/HV mark
63.56	0	31780	Photo/HV mark
63.626	0	31813	Photo/HV mark
63.694	0	31847	Photo/HV mark
63.76	0	31880	Photo/HV mark
63.826	0	31913	Photo/HV mark
63.894	0	31947	Photo/HV mark
63.96	0	31980	Photo/HV mark
64.026	0	32013	Photo/HV mark
64.094	0	32047	Photo/HV mark
64.16	0	32080	Photo/HV mark
64.226	0	32113	Photo/HV mark
64.294	0	32147	Photo/HV mark
64.36	0	32180	Photo/HV mark
64.426	0	32213	Photo/HV mark
64.494	0	32247	Photo/HV mark
64.56	0	32280	Photo/HV mark
64.626	0	32313	Photo/HV mark
64.694	0	32347	Photo/HV mark
64.76	0	32380	Photo/HV mark
64.826	0	32413	Photo/HV mark
64.894	0	32447	Photo/HV mark
64.96	0	32480	Photo/HV mark
65.026	0	32513	Photo/HV mark
65.094	0	32547	Photo/HV mark
65.16	0	32580	Photo/HV mark
65.226	0	32613	Photo/HV mark
65.294	0	32647	Photo/HV mark
65.36	0	32680	Photo/HV mark
65.426	0	32713	Photo/HV mark
65.492	0	32746	Photo/HV mark
65.56	0	32780	Photo/HV mark
75.56	0	37780	Photo/HV mark
75.597	0	37798.5	PHOTO 20Hz          
75.61	0	37805	Photo/HV mark
75.66	0	37830	Photo/HV mark
75.71	0	37855	Photo/HV mark
75.76	0	37880	Photo/HV mark
75.81	0	37905	Photo/HV mark
75.86	0	37930	Photo/HV mark
75.91	0	37955	Photo/HV mark
75.96	0	37980	Photo/HV mark
