onset	duration	sample	value
21.897	0	10948.5	PHOTO 5Hz           
21.9	0	10950	Photo/HV mark
22.1	0	11050	Photo/HV mark
22.3	0	11150	Photo/HV mark
22.5	0	11250	Photo/HV mark
22.7	0	11350	Photo/HV mark
22.9	0	11450	Photo/HV mark
23.1	0	11550	Photo/HV mark
23.3	0	11650	Photo/HV mark
23.5	0	11750	Photo/HV mark
23.7	0	11850	Photo/HV mark
23.9	0	11950	Photo/HV mark
24.037	0	12018.5	open eyes
24.1	0	12050	Photo/HV mark
24.3	0	12150	Photo/HV mark
24.5	0	12250	Photo/HV mark
24.7	0	12350	Photo/HV mark
24.9	0	12450	Photo/HV mark
25.1	0	12550	Photo/HV mark
25.298	0	12649	Photo/HV mark
25.498	0	12749	Photo/HV mark
25.698	0	12849	Photo/HV mark
25.898	0	12949	Photo/HV mark
26.098	0	13049	Photo/HV mark
26.298	0	13149	Photo/HV mark
26.498	0	13249	Photo/HV mark
26.698	0	13349	Photo/HV mark
26.898	0	13449	Photo/HV mark
27.098	0	13549	Photo/HV mark
27.298	0	13649	Photo/HV mark
27.498	0	13749	Photo/HV mark
27.698	0	13849	Photo/HV mark
27.898	0	13949	Photo/HV mark
28.098	0	14049	Photo/HV mark
28.298	0	14149	Photo/HV mark
28.309	0	14154.5	closed eyes
28.498	0	14249	Photo/HV mark
28.698	0	14349	Photo/HV mark
28.898	0	14449	Photo/HV mark
29.098	0	14549	Photo/HV mark
29.298	0	14649	Photo/HV mark
29.469	0	14734.5	closed eyes
29.498	0	14749	Photo/HV mark
29.698	0	14849	Photo/HV mark
29.898	0	14949	Photo/HV mark
30.098	0	15049	Photo/HV mark
30.298	0	15149	Photo/HV mark
30.498	0	15249	Photo/HV mark
30.698	0	15349	Photo/HV mark
30.898	0	15449	Photo/HV mark
31.098	0	15549	Photo/HV mark
31.298	0	15649	Photo/HV mark
31.498	0	15749	Photo/HV mark
31.698	0	15849	Photo/HV mark
31.898	0	15949	Photo/HV mark
41.291	0	20645.5	eye movement
41.898	0	20949	Photo/HV mark
41.998	0	20999	Photo/HV mark
42.009	0	21004.5	PHOTO 10Hz          
42.098	0	21049	Photo/HV mark
42.198	0	21099	Photo/HV mark
42.298	0	21149	Photo/HV mark
42.398	0	21199	Photo/HV mark
42.498	0	21249	Photo/HV mark
42.598	0	21299	Photo/HV mark
42.698	0	21349	Photo/HV mark
42.798	0	21399	Photo/HV mark
42.898	0	21449	Photo/HV mark
42.998	0	21499	Photo/HV mark
43.098	0	21549	Photo/HV mark
43.198	0	21599	Photo/HV mark
43.298	0	21649	Photo/HV mark
43.398	0	21699	Photo/HV mark
43.498	0	21749	Photo/HV mark
43.598	0	21799	Photo/HV mark
43.698	0	21849	Photo/HV mark
43.798	0	21899	Photo/HV mark
43.898	0	21949	Photo/HV mark
43.998	0	21999	Photo/HV mark
44.098	0	22049	Photo/HV mark
44.156	0	22078	open eyes
44.198	0	22099	Photo/HV mark
44.298	0	22149	Photo/HV mark
44.398	0	22199	Photo/HV mark
44.498	0	22249	Photo/HV mark
44.598	0	22299	Photo/HV mark
44.698	0	22349	Photo/HV mark
44.798	0	22399	Photo/HV mark
44.898	0	22449	Photo/HV mark
44.998	0	22499	Photo/HV mark
45.098	0	22549	Photo/HV mark
45.198	0	22599	Photo/HV mark
45.298	0	22649	Photo/HV mark
45.398	0	22699	Photo/HV mark
45.498	0	22749	Photo/HV mark
45.598	0	22799	Photo/HV mark
45.698	0	22849	Photo/HV mark
45.798	0	22899	Photo/HV mark
45.898	0	22949	Photo/HV mark
45.998	0	22999	Photo/HV mark
46.098	0	23049	Photo/HV mark
46.198	0	23099	Photo/HV mark
46.298	0	23149	Photo/HV mark
46.398	0	23199	Photo/HV mark
46.498	0	23249	Photo/HV mark
46.598	0	23299	Photo/HV mark
46.698	0	23349	Photo/HV mark
46.798	0	23399	Photo/HV mark
46.898	0	23449	Photo/HV mark
46.998	0	23499	Photo/HV mark
47.098	0	23549	Photo/HV mark
47.198	0	23599	Photo/HV mark
47.298	0	23649	Photo/HV mark
47.398	0	23699	Photo/HV mark
47.498	0	23749	Photo/HV mark
47.598	0	23799	Photo/HV mark
47.698	0	23849	Photo/HV mark
47.796	0	23898	Photo/HV mark
47.896	0	23948	Photo/HV mark
47.996	0	23998	Photo/HV mark
48.096	0	24048	Photo/HV mark
48.196	0	24098	Photo/HV mark
48.211	0	24105.5	closed eyes
48.296	0	24148	Photo/HV mark
48.396	0	24198	Photo/HV mark
48.496	0	24248	Photo/HV mark
48.596	0	24298	Photo/HV mark
48.696	0	24348	Photo/HV mark
48.796	0	24398	Photo/HV mark
48.896	0	24448	Photo/HV mark
48.996	0	24498	Photo/HV mark
49.096	0	24548	Photo/HV mark
49.196	0	24598	Photo/HV mark
49.296	0	24648	Photo/HV mark
49.396	0	24698	Photo/HV mark
49.496	0	24748	Photo/HV mark
49.596	0	24798	Photo/HV mark
49.696	0	24848	Photo/HV mark
49.796	0	24898	Photo/HV mark
49.896	0	24948	Photo/HV mark
49.996	0	24998	Photo/HV mark
50.096	0	25048	Photo/HV mark
50.196	0	25098	Photo/HV mark
50.296	0	25148	Photo/HV mark
50.396	0	25198	Photo/HV mark
50.496	0	25248	Photo/HV mark
50.596	0	25298	Photo/HV mark
50.696	0	25348	Photo/HV mark
50.796	0	25398	Photo/HV mark
50.896	0	25448	Photo/HV mark
50.996	0	25498	Photo/HV mark
51.096	0	25548	Photo/HV mark
51.196	0	25598	Photo/HV mark
51.296	0	25648	Photo/HV mark
51.396	0	25698	Photo/HV mark
51.496	0	25748	Photo/HV mark
51.596	0	25798	Photo/HV mark
51.696	0	25848	Photo/HV mark
51.796	0	25898	Photo/HV mark
51.896	0	25948	Photo/HV mark
61.896	0	30948	Photo/HV mark
61.912	0	30956	PHOTO 15Hz          
61.962	0	30981	Photo/HV mark
62.028	0	31014	Photo/HV mark
62.096	0	31048	Photo/HV mark
62.162	0	31081	Photo/HV mark
62.228	0	31114	Photo/HV mark
62.296	0	31148	Photo/HV mark
62.362	0	31181	Photo/HV mark
62.428	0	31214	Photo/HV mark
62.496	0	31248	Photo/HV mark
62.562	0	31281	Photo/HV mark
62.628	0	31314	Photo/HV mark
62.696	0	31348	Photo/HV mark
62.762	0	31381	Photo/HV mark
62.828	0	31414	Photo/HV mark
62.896	0	31448	Photo/HV mark
62.962	0	31481	Photo/HV mark
63.028	0	31514	Photo/HV mark
63.096	0	31548	Photo/HV mark
63.162	0	31581	Photo/HV mark
