onset	duration	sample	value
18.569	0	9284.5	PHOTO 5Hz           
18.572	0	9286	Photo/HV mark
18.772	0	9386	Photo/HV mark
18.972	0	9486	Photo/HV mark
19.172	0	9586	Photo/HV mark
19.372	0	9686	Photo/HV mark
19.572	0	9786	Photo/HV mark
19.772	0	9886	Photo/HV mark
19.972	0	9986	Photo/HV mark
20.17	0	10085	Photo/HV mark
20.37	0	10185	Photo/HV mark
20.57	0	10285	Photo/HV mark
20.77	0	10385	Photo/HV mark
20.97	0	10485	Photo/HV mark
21.17	0	10585	Photo/HV mark
21.344	0	10672	open eyes
21.37	0	10685	Photo/HV mark
21.57	0	10785	Photo/HV mark
21.77	0	10885	Photo/HV mark
21.97	0	10985	Photo/HV mark
22.17	0	11085	Photo/HV mark
22.37	0	11185	Photo/HV mark
22.57	0	11285	Photo/HV mark
22.77	0	11385	Photo/HV mark
22.97	0	11485	Photo/HV mark
23.17	0	11585	Photo/HV mark
23.37	0	11685	Photo/HV mark
23.57	0	11785	Photo/HV mark
23.77	0	11885	Photo/HV mark
23.97	0	11985	Photo/HV mark
24.17	0	12085	Photo/HV mark
24.37	0	12185	Photo/HV mark
24.57	0	12285	Photo/HV mark
24.596	0	12298	closed eyes
24.77	0	12385	Photo/HV mark
24.97	0	12485	Photo/HV mark
25.17	0	12585	Photo/HV mark
25.37	0	12685	Photo/HV mark
25.57	0	12785	Photo/HV mark
25.77	0	12885	Photo/HV mark
25.97	0	12985	Photo/HV mark
26.17	0	13085	Photo/HV mark
26.37	0	13185	Photo/HV mark
26.57	0	13285	Photo/HV mark
26.77	0	13385	Photo/HV mark
26.97	0	13485	Photo/HV mark
27.17	0	13585	Photo/HV mark
27.37	0	13685	Photo/HV mark
27.57	0	13785	Photo/HV mark
27.77	0	13885	Photo/HV mark
27.97	0	13985	Photo/HV mark
28.17	0	14085	Photo/HV mark
28.37	0	14185	Photo/HV mark
28.57	0	14285	Photo/HV mark
38.57	0	19285	Photo/HV mark
38.634	0	19317	PHOTO 10Hz          
38.67	0	19335	Photo/HV mark
38.77	0	19385	Photo/HV mark
38.87	0	19435	Photo/HV mark
38.97	0	19485	Photo/HV mark
39.07	0	19535	Photo/HV mark
39.17	0	19585	Photo/HV mark
