onset	duration	sample	value
2.787	0	1393.5	PHOTO 5Hz           
2.79	0	1395	Photo/HV mark
2.99	0	1495	Photo/HV mark
3.19	0	1595	Photo/HV mark
3.39	0	1695	Photo/HV mark
3.59	0	1795	Photo/HV mark
3.79	0	1895	Photo/HV mark
3.99	0	1995	Photo/HV mark
4.19	0	2095	Photo/HV mark
4.39	0	2195	Photo/HV mark
4.59	0	2295	Photo/HV mark
4.79	0	2395	Photo/HV mark
4.99	0	2495	Photo/HV mark
5.19	0	2595	Photo/HV mark
5.318	0	2659	open eyes
5.39	0	2695	Photo/HV mark
5.59	0	2795	Photo/HV mark
5.79	0	2895	Photo/HV mark
5.99	0	2995	Photo/HV mark
6.19	0	3095	Photo/HV mark
6.39	0	3195	Photo/HV mark
6.59	0	3295	Photo/HV mark
6.79	0	3395	Photo/HV mark
6.99	0	3495	Photo/HV mark
7.19	0	3595	Photo/HV mark
7.39	0	3695	Photo/HV mark
7.59	0	3795	Photo/HV mark
7.79	0	3895	Photo/HV mark
7.99	0	3995	Photo/HV mark
8.19	0	4095	Photo/HV mark
8.39	0	4195	Photo/HV mark
8.59	0	4295	Photo/HV mark
8.79	0	4395	Photo/HV mark
8.99	0	4495	Photo/HV mark
9.19	0	4595	Photo/HV mark
9.39	0	4695	Photo/HV mark
9.43	0	4715	closed eyes
9.59	0	4795	Photo/HV mark
9.79	0	4895	Photo/HV mark
9.99	0	4995	Photo/HV mark
10.19	0	5095	Photo/HV mark
10.39	0	5195	Photo/HV mark
10.59	0	5295	Photo/HV mark
10.79	0	5395	Photo/HV mark
10.99	0	5495	Photo/HV mark
11.19	0	5595	Photo/HV mark
11.39	0	5695	Photo/HV mark
11.59	0	5795	Photo/HV mark
11.79	0	5895	Photo/HV mark
11.99	0	5995	Photo/HV mark
12.19	0	6095	Photo/HV mark
12.39	0	6195	Photo/HV mark
12.59	0	6295	Photo/HV mark
12.79	0	6395	Photo/HV mark
18.389	0	9194.5	Swallowing
22.788	0	11394	Photo/HV mark
22.888	0	11444	Photo/HV mark
22.935	0	11467.5	PHOTO 10Hz          
22.988	0	11494	Photo/HV mark
23.088	0	11544	Photo/HV mark
23.188	0	11594	Photo/HV mark
23.288	0	11644	Photo/HV mark
23.388	0	11694	Photo/HV mark
23.488	0	11744	Photo/HV mark
23.588	0	11794	Photo/HV mark
23.688	0	11844	Photo/HV mark
23.788	0	11894	Photo/HV mark
23.888	0	11944	Photo/HV mark
23.988	0	11994	Photo/HV mark
24.088	0	12044	Photo/HV mark
24.188	0	12094	Photo/HV mark
24.288	0	12144	Photo/HV mark
24.388	0	12194	Photo/HV mark
24.488	0	12244	Photo/HV mark
24.588	0	12294	Photo/HV mark
24.688	0	12344	Photo/HV mark
24.788	0	12394	Photo/HV mark
24.888	0	12444	Photo/HV mark
24.988	0	12494	Photo/HV mark
25.088	0	12544	Photo/HV mark
25.188	0	12594	Photo/HV mark
25.288	0	12644	Photo/HV mark
25.388	0	12694	Photo/HV mark
25.488	0	12744	Photo/HV mark
25.588	0	12794	Photo/HV mark
25.688	0	12844	Photo/HV mark
25.788	0	12894	Photo/HV mark
25.888	0	12944	Photo/HV mark
25.947	0	12973.5	open eyes
25.988	0	12994	Photo/HV mark
26.088	0	13044	Photo/HV mark
26.188	0	13094	Photo/HV mark
26.288	0	13144	Photo/HV mark
26.388	0	13194	Photo/HV mark
26.488	0	13244	Photo/HV mark
26.588	0	13294	Photo/HV mark
26.688	0	13344	Photo/HV mark
26.788	0	13394	Photo/HV mark
26.888	0	13444	Photo/HV mark
26.988	0	13494	Photo/HV mark
27.088	0	13544	Photo/HV mark
27.188	0	13594	Photo/HV mark
27.288	0	13644	Photo/HV mark
27.388	0	13694	Photo/HV mark
27.488	0	13744	Photo/HV mark
27.588	0	13794	Photo/HV mark
27.688	0	13844	Photo/HV mark
27.788	0	13894	Photo/HV mark
27.888	0	13944	Photo/HV mark
27.988	0	13994	Photo/HV mark
28.088	0	14044	Photo/HV mark
28.188	0	14094	Photo/HV mark
28.288	0	14144	Photo/HV mark
28.388	0	14194	Photo/HV mark
28.488	0	14244	Photo/HV mark
28.588	0	14294	Photo/HV mark
28.688	0	14344	Photo/HV mark
28.788	0	14394	Photo/HV mark
28.888	0	14444	Photo/HV mark
28.988	0	14494	Photo/HV mark
29.088	0	14544	Photo/HV mark
29.179	0	14589.5	closed eyes
29.188	0	14594	Photo/HV mark
29.288	0	14644	Photo/HV mark
29.388	0	14694	Photo/HV mark
29.488	0	14744	Photo/HV mark
29.588	0	14794	Photo/HV mark
29.688	0	14844	Photo/HV mark
29.788	0	14894	Photo/HV mark
29.888	0	14944	Photo/HV mark
29.988	0	14994	Photo/HV mark
30.088	0	15044	Photo/HV mark
30.188	0	15094	Photo/HV mark
30.288	0	15144	Photo/HV mark
30.388	0	15194	Photo/HV mark
30.488	0	15244	Photo/HV mark
30.588	0	15294	Photo/HV mark
30.688	0	15344	Photo/HV mark
30.788	0	15394	Photo/HV mark
30.888	0	15444	Photo/HV mark
30.988	0	15494	Photo/HV mark
31.088	0	15544	Photo/HV mark
31.188	0	15594	Photo/HV mark
31.288	0	15644	Photo/HV mark
31.388	0	15694	Photo/HV mark
31.488	0	15744	Photo/HV mark
31.588	0	15794	Photo/HV mark
31.688	0	15844	Photo/HV mark
31.788	0	15894	Photo/HV mark
31.888	0	15944	Photo/HV mark
31.988	0	15994	Photo/HV mark
32.088	0	16044	Photo/HV mark
32.188	0	16094	Photo/HV mark
32.288	0	16144	Photo/HV mark
32.388	0	16194	Photo/HV mark
32.488	0	16244	Photo/HV mark
32.588	0	16294	Photo/HV mark
32.688	0	16344	Photo/HV mark
32.788	0	16394	Photo/HV mark
42.786	0	21393	Photo/HV mark
42.795	0	21397.5	PHOTO 15Hz          
42.854	0	21427	Photo/HV mark
